timestamp,symbol,open,high,low,close,volume
2024-01-02T16:00:00Z,DEMO,100,102,99,101,1000
2024-01-03T16:00:00Z,DEMO,101,103,100,102,1020
2024-01-04T16:00:00Z,DEMO,102,104,101,103,980
2024-01-05T16:00:00Z,DEMO,103,105,102,104,1100
2024-01-08T16:00:00Z,DEMO,104,106,103,105,1150
2024-01-09T16:00:00Z,DEMO,105,106,102,103,1200
2024-01-10T16:00:00Z,DEMO,103,104,100,101,1250
2024-01-11T16:00:00Z,DEMO,101,102,98,99,1300
2024-01-12T16:00:00Z,DEMO,99,100,96,97,1280
2024-01-15T16:00:00Z,DEMO,97,99,95,98,1180
2024-01-16T16:00:00Z,DEMO,98,101,97,100,1120
2024-01-17T16:00:00Z,DEMO,100,103,99,102,1080
2024-01-18T16:00:00Z,DEMO,102,105,101,104,1050
2024-01-19T16:00:00Z,DEMO,104,107,103,106,1090
2024-01-22T16:00:00Z,DEMO,106,109,105,108,1160
2024-01-23T16:00:00Z,DEMO,108,109,105,106,1220
2024-01-24T16:00:00Z,DEMO,106,107,103,104,1260
2024-01-25T16:00:00Z,DEMO,104,105,101,102,1290
2024-01-26T16:00:00Z,DEMO,102,103,99,100,1310
2024-01-29T16:00:00Z,DEMO,100,101,97,98,1340
2024-01-30T16:00:00Z,DEMO,98,100,96,99,1270
2024-01-31T16:00:00Z,DEMO,99,102,98,101,1190
2024-02-01T16:00:00Z,DEMO,101,104,100,103,1130
2024-02-02T16:00:00Z,DEMO,103,106,102,105,1110
2024-02-05T16:00:00Z,DEMO,105,108,104,107,1170
2024-02-06T16:00:00Z,DEMO,107,110,106,109,1240
2024-02-07T16:00:00Z,DEMO,109,110,106,107,1300
2024-02-08T16:00:00Z,DEMO,107,108,104,105,1320
2024-02-09T16:00:00Z,DEMO,105,106,102,103,1350
2024-02-12T16:00:00Z,DEMO,103,104,100,101,1380
2024-02-13T16:00:00Z,DEMO,101,102,98,99,1400
2024-02-14T16:00:00Z,DEMO,99,101,97,100,1360
2024-02-15T16:00:00Z,DEMO,100,103,99,102,1280
2024-02-16T16:00:00Z,DEMO,102,105,101,104,1210
2024-02-19T16:00:00Z,DEMO,104,107,103,106,1180
2024-02-20T16:00:00Z,DEMO,106,109,105,108,1230
2024-02-21T16:00:00Z,DEMO,108,111,107,110,1290
2024-02-22T16:00:00Z,DEMO,110,111,107,108,1350
2024-02-23T16:00:00Z,DEMO,108,109,105,106,1390
2024-02-26T16:00:00Z,DEMO,106,107,103,104,1420
