timestamp,asset_a_close,asset_b_close
2024-01-02T16:00:00+00:00,100.20,50.00
2024-01-03T16:00:00+00:00,101.05,50.40
2024-01-04T16:00:00+00:00,102.10,50.80
2024-01-05T16:00:00+00:00,103.00,51.20
2024-01-08T16:00:00+00:00,104.30,51.60
2024-01-09T16:00:00+00:00,105.10,52.00
2024-01-10T16:00:00+00:00,109.80,52.40
2024-01-11T16:00:00+00:00,106.40,52.80
2024-01-12T16:00:00+00:00,107.20,53.20
2024-01-15T16:00:00+00:00,107.90,53.60
2024-01-16T16:00:00+00:00,108.70,54.00
2024-01-17T16:00:00+00:00,109.55,54.40
2024-01-18T16:00:00+00:00,106.20,54.80
2024-01-19T16:00:00+00:00,111.05,55.20
2024-01-22T16:00:00+00:00,111.90,55.60
2024-01-23T16:00:00+00:00,112.80,56.00
2024-01-24T16:00:00+00:00,113.75,56.40
2024-01-25T16:00:00+00:00,114.55,56.80
2024-01-26T16:00:00+00:00,119.20,57.20
2024-01-29T16:00:00+00:00,116.10,57.60
2024-01-30T16:00:00+00:00,116.90,58.00
2024-01-31T16:00:00+00:00,117.75,58.40
2024-02-01T16:00:00+00:00,118.60,58.80
2024-02-02T16:00:00+00:00,119.45,59.20
2024-02-05T16:00:00+00:00,116.00,59.60
2024-02-06T16:00:00+00:00,121.00,60.00
2024-02-07T16:00:00+00:00,121.80,60.40
2024-02-08T16:00:00+00:00,122.65,60.80
2024-02-09T16:00:00+00:00,123.55,61.20
2024-02-12T16:00:00+00:00,124.35,61.60
2024-02-13T16:00:00+00:00,129.10,62.00
2024-02-14T16:00:00+00:00,126.00,62.40
2024-02-15T16:00:00+00:00,126.80,62.80
2024-02-16T16:00:00+00:00,127.70,63.20
2024-02-19T16:00:00+00:00,128.55,63.60
2024-02-20T16:00:00+00:00,129.35,64.00
2024-02-21T16:00:00+00:00,126.10,64.40
2024-02-22T16:00:00+00:00,131.00,64.80
2024-02-23T16:00:00+00:00,131.85,65.20
2024-02-26T16:00:00+00:00,132.70,65.60

