timestamp,asset_a_close,asset_b_close
2024-02-27T16:00:00+00:00,132.0000,66.0000
2024-02-28T16:00:00+00:00,134.4689,66.3771
2024-02-29T16:00:00+00:00,136.1430,66.7519
2024-03-01T16:00:00+00:00,136.6176,67.1222
2024-03-04T16:00:00+00:00,136.0754,67.4862
2024-03-05T16:00:00+00:00,135.1920,67.8423
2024-03-06T16:00:00+00:00,134.7977,68.1896
2024-03-07T16:00:00+00:00,135.4626,68.5276
2024-03-08T16:00:00+00:00,137.2127,68.8564
2024-03-11T16:00:00+00:00,139.5160,69.1767
2024-03-12T16:00:00+00:00,141.5468,69.4898
2024-03-13T16:00:00+00:00,142.5970,69.7972
2024-03-14T16:00:00+00:00,142.4296,70.1012
2024-03-15T16:00:00+00:00,141.3985,70.4038
2024-03-18T16:00:00+00:00,140.2766,70.7074
2024-03-19T16:00:00+00:00,139.8755,71.0143
2024-03-20T16:00:00+00:00,140.6465,71.3265
2024-03-21T16:00:00+00:00,142.4602,71.6458
2024-03-22T16:00:00+00:00,144.6749,71.9734
2024-03-25T16:00:00+00:00,146.4577,72.3101
2024-03-26T16:00:00+00:00,147.2016,72.6562
2024-03-27T16:00:00+00:00,146.8284,73.0112
2024-03-28T16:00:00+00:00,145.8293,73.3742
2024-03-29T16:00:00+00:00,145.0219,73.7438
2024-04-01T16:00:00+00:00,145.1443,74.1181
2024-04-02T16:00:00+00:00,146.4882,74.4950
2024-04-03T16:00:00+00:00,148.7525,74.8723
2024-04-04T16:00:00+00:00,151.1913,75.2475
2024-04-05T16:00:00+00:00,152.9815,75.6185
2024-04-08T16:00:00+00:00,153.6289,75.9835
2024-04-09T16:00:00+00:00,153.2109,76.3407
2024-04-10T16:00:00+00:00,152.3351,76.6892
2024-04-11T16:00:00+00:00,151.8351,77.0284
2024-04-12T16:00:00+00:00,152.3545,77.3584
2024-04-15T16:00:00+00:00,154.0250,77.6798
2024-04-16T16:00:00+00:00,156.3998,77.9937
2024-04-17T16:00:00+00:00,158.6738,78.3018
2024-04-18T16:00:00+00:00,160.0828,78.6061
2024-04-19T16:00:00+00:00,160.2826,78.9087
2024-04-22T16:00:00+00:00,159.5197,79.2121
2024-04-23T16:00:00+00:00,158.5100,79.5184
2024-04-24T16:00:00+00:00,158.0839,79.8298
2024-04-25T16:00:00+00:00,158.7752,80.1480
2024-04-26T16:00:00+00:00,160.5576,80.4745
2024-04-29T16:00:00+00:00,162.8587,80.8100
2024-04-30T16:00:00+00:00,164.8455,81.1548
2024-05-01T16:00:00+00:00,165.8388,81.5087
2024-05-02T16:00:00+00:00,165.6518,81.8707
